tag,env,mode,seed,d,B,epoch,minibatch,eta,eta_src,n_mean_v,n_mean_ubar,n_mean_c,n_mean_ubar_raw,R_batch_action,cos_meanv_meanc,clip_rate
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,0,0.010629643282249196,recomputed_counterfactual,0.13641081227246019,0.018400826481745635,0.1357882196343799,0.013131504820684337,0.13551121394150203,0.9908707246566125,0.0010422016012257543
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,1,0.01067065868934842,recomputed_counterfactual,0.1281393301731986,0.018639206004564778,0.12898487413854864,0.013131504820684337,0.1445069131470333,0.9895116071563977,0.0010281266837284483
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,2,0.010673867544813363,recomputed_counterfactual,0.13074076450476704,0.018120741019606743,0.13129303016260271,0.013131504820684337,0.13801753982695575,0.9904442310817602,0.0010072116194100216
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,3,0.010666066929686923,recomputed_counterfactual,0.1261838407466499,0.016856607261372145,0.12779452975776123,0.013131504820684337,0.13190398128302125,0.9912700671878543,0.0009897166285021551
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,4,0.010545505109171703,recomputed_counterfactual,0.13143377605904497,0.021175935612345577,0.1308494164933586,0.013131504820684337,0.1618343908569019,0.9869729644246129,0.0010470686287715517
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,5,0.010422389218303761,recomputed_counterfactual,0.13380640644466588,0.021310143875871795,0.13295274044306402,0.013131504820684337,0.16028360005740097,0.9872570176922635,0.0010907403353987068
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,6,0.01056145230256069,recomputed_counterfactual,0.12826806138396515,0.019373156767006808,0.12938862753923627,0.013131504820684337,0.14972843545297126,0.9887306013934555,0.0010607489224137932
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,7,0.010986482561099003,recomputed_counterfactual,0.13200230038548957,0.020002994875327033,0.1327846029394908,0.013131504820684337,0.15064242715167545,0.9886036427323971,0.001012078646955819
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,8,0.01083494611921307,recomputed_counterfactual,0.13058655635810945,0.01861294576111981,0.13137613179480306,0.013131504820684337,0.1416767681213949,0.989921333802062,0.0010431223902209051
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,9,0.010504498264909165,recomputed_counterfactual,0.1317825441955767,0.02047473955601675,0.13105856235415275,0.013131504820684337,0.15622588244583896,0.9878789527111174,0.0011207317483836207
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,10,0.010511267881048746,recomputed_counterfactual,0.13359053635341223,0.021641749702446703,0.13343395139939673,0.013131504820684337,0.16219072788683342,0.9868631885157162,0.0010496994544719827
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,11,0.010691465833752405,recomputed_counterfactual,0.13177966012302314,0.018096356824637817,0.13241922800984596,0.013131504820684337,0.1366595855939865,0.9906284794206173,0.0009889273807920259
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,12,0.010499875727745557,recomputed_counterfactual,0.12743758466163158,0.01857944778487321,0.1276887803054703,0.013131504820684337,0.1455057189854898,0.9893951154556415,0.0010753500050511853
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,13,0.010605282640326334,recomputed_counterfactual,0.1321476055054853,0.01839658226742308,0.1337981919032763,0.013131504820684337,0.1374949990399318,0.9905065408581318,0.0009772202064251077
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,14,0.010569278188131841,recomputed_counterfactual,0.1368401389694364,0.02159162969213174,0.13670900972708572,0.013131504820684337,0.15793860064583526,0.9875401105708751,0.0010798224087419182
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,0,15,0.01051448744946541,recomputed_counterfactual,0.13466404261427523,0.019089073692719727,0.13449406058412192,0.013131504820684337,0.1419324660856541,0.9899410992794621,0.0010033969221443966
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,1,0,0.010793353287350793,recomputed_counterfactual,0.1399756336698782,0.020866406052611676,0.1347639310550082,0.008229070458527348,0.15483672737284243,0.9891790640419048,0.0011075776198814656
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,1,1,0.010632052911098033,recomputed_counterfactual,0.1376806789145032,0.021012622676096427,0.1313922692611193,0.008229070458527348,0.15992282342104594,0.9888893784896692,0.0010152356377963361
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,8192,1,2,0.010673540053499122,recomputed_counterfactual,0.14563193755984977,0.01753691464032873,0.14180959817578948,0.008229070458527348,0.12366521635909314,0.9929078780778597,0.0010007660964439656
